can_nam,can_off,can_off_sta,can_par_aff,can_inc_cha_ope_sea,ind_ite_con,ind_uni_con,ind_con,par_com_con,oth_com_con,tot_con,tot_rec,ope_exp,tot_con_ref,oth_dis,tot_dis,cas_on_han_beg_of_per,cas_on_han_clo_of_per,net_con,net_ope_exp,winner
"LANGEVIN, JAMES R. HONORABLE",H,RI,DEM,INCUMBENT,567610.11,39897.55,607507.66,,486710,1094217.66,1105504.4,674427.99,7100,,697770.6,461855.22,869589.02,1087117.66,670999.82,Y
"LANKFORD, JAMES PAUL",S,OK,REP,INCUMBENT,1435981,228345,1664329,,1034146,2698475,2804202,2133185,21725,68500,2223410,323294,904085,2676750,2131723,Y
"LAPHAM, ROBERT B",H,FL,LIB,OPEN,2010,1285,3295,3201.6,,6496.6,18286.6,16956.44,,,27396.44,,-9814.92,6496.6,16956.44,
"LAPOLICE, ALAN",H,KS,IND,CHALLENGER,87125,5969,93094,,,98671,129058.38,91018.47,,,91018.47,3675.95,41715.86,98671,90631.09,
"LARCHUK, STEVEN B",H,PA,DEM,CHALLENGER,35045,4091,39136,,201.59,89057.59,349057.59,284312.05,31744,12113,333169.05,,15888.54,57313.59,284312.05,
"LAROSE, JOSH",S,FL,DEM,CHALLENGER,,,,,,,,,,,,,,,,
"LARSEN, DAVID MR.",H,NJ,REP,CHALLENGER,27061.53,10874.23,37935.76,,,37935.76,277626.96,187360.76,3896.4,,191257.16,,83669.8,34039.36,187360.76,
"LARSEN, RICK",H,WA,DEM,INCUMBENT,168545.16,25606.97,194152.13,14.02,712998.5,907164.65,907508.49,729029.14,500,295515,1025044.14,302610.39,185074.74,906664.65,728688.85,Y
"LARSON, DONALD PHILIP",H,OH,REP,CHALLENGER,18070,3715,21785,,874.39,22659.39,27859.39,24123.84,,,25123.84,,2733.84,22659.39,24123.84,
"LARSON, JOHN B",H,CT,DEM,INCUMBENT,373116.52,90923.68,464040.2,,1064271.16,1528311.36,1541135.06,1003324.34,7300,381854.69,1392479.03,424071.73,572727.76,1521011.36,992428.81,Y
"LASCHOBER, DANIEL",S,OR,REP,CHALLENGER,4135,1210,5345,,,5345,17345,8754,,,17344,,,5345,8754,
"LASEE, FRANK",H,WI,REP,OPEN,257057.17,31131,288188.17,15300,19600,323088.17,324088.17,185720.2,100,,185820.2,100,138367.97,322988.17,185720.2,
"LASONDE, JOAN MCCARTHY",H,IL,REP,CHALLENGER,145782.68,20883.5,166666.18,,4450,176522.6,176547.6,133265.71,1500,,134765.71,,41781.89,175022.6,133265.71,
"LATTA, ROBERT EDWARD MR",H,OH,REP,INCUMBENT,353475.97,54170.15,407646.12,250,592672.2,1000568.32,1000716.5,384642.27,2209.84,227195,614047.11,492878.98,879548.37,998358.48,384494.66,Y
"LAUREL-SMITH, ABBEY",P,US,IND,OPEN,,,,,,,,,,,33980,,-33980,,33980,
"LAVERGNE, FREDERICK JOHN",H,NJ,DEM,CHALLENGER,250,350,600,,,600,600,,,,,,600,600,,
"LAW, ALEXANDER",H,NJ,DEM,CHALLENGER,30318,43599.98,73917.98,,1000,74917.98,81517.98,81319.55,,,82783.98,1496.96,230.96,74917.98,81319.55,
"LAW, PHILIP JOSEPH",H,NC,REP,CHALLENGER,83622.17,25882.07,109504.24,,,145404.32,154532.32,146032.32,,,154532.32,,,145404.32,145404.32,
"LAWHORN, ZANE RENEE",H,WV,LIB,CHALLENGER,2660,,2660,,,31593.69,63603.69,62950.85,,,62950.85,,652.64,31593.69,62950.85,
"LAWRENCE, BRENDA LULENAR",H,MI,DEM,INCUMBENT,265276.89,49563.3,314840.19,,468092.89,782933.08,783774.31,499453.15,16500,128644.22,644597.37,89131.21,228308.15,766433.08,498853.15,Y
"LAWRENCE, DERICKSON K",H,NY,DEM,CHALLENGER,1500,344,1844,,,34460.09,34460.09,14759.89,,9947,24706.89,7997,11422.15,34460.09,14759.89,
"LAWRENCE, JIM",H,NH,REP,CHALLENGER,61891.61,6781,68672.61,1000,,69672.61,80672.61,59039.75,,,59039.75,,21632.86,69672.61,59039.75,
"LAWRENCE, MARY",H,MN,DFL,CHALLENGER,381875,17250.89,399125.89,,5500,410025.89,1581291.69,856580.79,358339,83000,1547919.79,,33371.9,51686.89,855329.79,
"LAWSON, ALFRED JR",H,FL,DEM,CHALLENGER,158025.98,31547.26,189573.24,,52000,241573.24,342874.89,237804.03,2000,,239804.03,-18680.78,103020.86,239573.24,237502.38,Y
"LEACH, RONALD ALLEN",S,KY,DEM,CHALLENGER,2550,2353,4903,,,15137,15137,15137,,,15137,,,15137,15137,
"LEAHY, PATRICK J",S,VT,DEM,INCUMBENT,2362008,89295,2451304,,1263473,3714777,3855114,2148902,5350,12250,2166502,1276173,2964783,3709427,2145153,Y
"LEATHERWOOD, THOMAS F III",H,TN,REP,OPEN,43872,8284.68,52156.68,,1000,53156.68,53198.63,52610.45,,100,52710.45,476.77,964.95,53156.68,52610.45,
"LEBECK, JASON MR.",H,WI,LIB,CHALLENGER,,450.65,450.65,,,555.48,555.48,468.89,,,468.89,,86.59,555.48,468.89,
"LEE, BARBARA",H,CA,DEM,INCUMBENT,746233.93,150889.68,897123.61,,308740,1205863.61,1209811.57,953436.94,8187,150540,1112163.94,83690.6,181338.23,1197676.61,949488.98,Y
"LEE, MIKE",S,UT,REP,INCUMBENT,2580352.57,273953.16,2854309.73,5000,898120,3757429.73,3821899.49,3288022.71,193656,41012.54,3565191.25,367264,623971,3563773.73,3272727.71,Y
"LEE, MONROE",P,US,REP,OPEN,,,,,,,,,,,26,,,,,
"LEE, PATRICK",S,MO,IND,CHALLENGER,388,223,611,,,5611,5611,5361,,,5361,,250,5611,5361,
"LEE, SHEILA JACKSON",H,TX,DEM,INCUMBENT,141360,8770.55,150130.55,9500,218889.9,378520.45,378520.45,306334.22,,73795.88,380130.1,212815.22,211205.57,378520.45,306334.22,Y
"LEE, SUSIE",H,NV,DEM,CHALLENGER,916630.41,32922.47,949552.88,,21750,994633.58,1651680.38,1494206.69,153834.42,114,1651680.38,,,840799.16,1492159.89,
"LEE, YUNGMAN F",H,NY,DEM,CHALLENGER,404886,11982.27,416868.27,,,416868.27,419868.27,419868.27,,,419868.27,,,416868.27,416868.27,
"LEVENE, ALLAN MR.",H,TN,REP,CHALLENGER,,75,75,,,5295,7220,10225.65,,,11600.65,137.61,,5295,10732.17,
"LEVIN, SANDER M MR",H,MI,DEM,INCUMBENT,191745.11,40731.97,232477.08,,997880,1230357.08,1244199.96,621308.21,300,524175,1145783.21,199665.24,298081.99,1230057.08,608029.35,Y
"LEWALLEN, SHANTI",S,OR,OTH,CHALLENGER,1750,1800,3550,,,3550,3550,337,,,337,,3212,3550,337,
"LEWIS JR, JULIAN BISHOP",P,US,IND,OPEN,,,,,,,,,,,,,,,,
"LEWIS, JASON MARK MR.",H,MN,REP,OPEN,410828.18,247306.78,658134.96,1500,127412.5,787572.46,787945.88,698738.28,14650,,713388.28,,74557.6,772922.46,698364.86,Y
"LEWIS, JOEL ANDREW",H,WI,DEM,CHALLENGER,5918.62,554.64,6473.26,,,6488.26,6788.39,6608.26,,,6608.26,,180.13,6488.26,6608.26,
"LEWIS, JOHN R.",H,GA,DEM,INCUMBENT,357268.09,54375.24,411643.33,,571850,983493.33,983658.31,655731.53,3130,273000,931861.53,184419.65,236216.43,980363.33,655566.55,Y
"LI, LINDY",H,PA,DEM,CHALLENGER,442568.72,65659.91,508228.63,,1000,509228.63,509228.63,291310.88,6668.25,6125,304104.13,,177252.1,502560.38,291310.88,
"LIBRACE, DAVID",P,US,IND,OPEN,,,,,,,,,,,,,,,,
"LIEBER, ARTHUR H.",H,MO,DEM,CHALLENGER,,,,,,,,407.88,,8382.08,8789.96,8789.96,,,407.88,
"LIEBNITZKY, WAYNE",H,FL,REP,OPEN,14050,1357,15407,1000,,16407,31251.39,26957.55,,,26957.55,,3798.84,16407,26917.95,
"LIEU, TED",H,CA,DEM,INCUMBENT,1365681.04,65983.11,1431664.15,,443555.05,1875220.2,1890212.07,651654.14,23700,351287,1026641.14,121864.1,983752.07,1851520.2,638745.47,Y
"LINDBECK, STEVE",H,AK,DEM,,565061.72,253561.59,818623.31,,40324.61,876502.92,887926.82,803574.79,186.11,20050,823810.9,,64115.92,876316.81,792150.89,
"LINDNER, PETE",H,NY,DEM,CHALLENGER,2600,,2600,,,2600,6996.01,7476.87,,11157.34,18634.21,,-13884.02,2600,7330.86,
"LIPINSKI, DANIEL WILLIAM WILLIAM",H,IL,DEM,INCUMBENT,189171,33285.76,222456.76,,587262.74,809719.5,815733.74,494082.16,,72000,566082.16,1047669.95,1297321.53,809719.5,488426.96,Y
"LITTLETON, PEG LORRAINE",S,CO,REP,CHALLENGER,52464,40,52509,,,52965,53547,52964,,,52964,,,52965,52964,
"LLOP, WILLIAM",H,GA,REP,CHALLENGER,1570,120,1690,,,1690,157940,156209.39,,,156799.49,3166.67,4307.18,1690,156209.39,
"LLOYD, JAMES",H,TX,REP,CHALLENGER,117996.83,5774,123770.83,,2700,126470.83,182520.83,167585.79,,,167585.79,,14935,126470.83,167585.79,
"LLOYD, JUNE LA'GAY",P,US,IND,OPEN,6,,,,,,,,,,,,,,,
"LLOYD, SARAH",H,WI,DEM,CHALLENGER,81838,72671.2,154509.2,3500,9578.1,179864.81,179864.81,101483.23,,,101483.23,,78381.58,179864.81,101483.23,
"LOBIONDO, FRANK A.",H,NJ,REP,INCUMBENT,375563.21,20498.18,396061.39,,1059557.12,1455618.51,1469989.03,1066634.64,6750,83100,1156484.64,393160.22,706664.61,1448868.51,1065626.37,Y
"LOCHNER, BOB",S,AK,REP,CHALLENGER,110,1360,1360,,,1470,16245,17382,,,33517,,,1470,17382,
"LOEBSACK, DAVID WAYNE",H,IA,DEM,INCUMBENT,505008.68,131210.41,636219.09,10000,897517.45,1543736.54,1560594.65,559455.18,750,50250,610455.18,33469.28,983608.75,1542986.54,542597.07,Y
"LOFGREN, ZOE",H,CA,DEM,INCUMBENT,837561,21602.33,859163.33,,459925,1319088.33,1335320.36,577650.11,3808.33,362607.61,944066.05,1051303.33,1442557.64,1315280,571764.04,Y
"LONG, BILLY MR.",H,MO,REP,INCUMBENT,475974,12989.71,488963.71,,901404.84,1390368.55,1411105.48,1478549.4,7400.1,23808.64,1509758.14,561805.11,463152.45,1382968.45,1478549.4,Y
"LONG, WENDY",S,NY,REP,CHALLENGER,175123,410750,585874,5500,6000,601270,631614,477955,,,477955,189,153846,601270,477811,
"LOPEZ, ADAM",H,IL,DEM,OPEN,5374.02,5059,10433.02,,800,13233.02,13633.02,11658.02,,2000,13658.02,,,13233.02,11658.02,
"LOPEZ, PETER D",H,NY,REP,OPEN,50150,2945,53095,,100,53195,53195,17352.55,18700,,36052.55,,17142.45,34495,17352.55,
"LOPEZ-CANTERA, CARLOS",S,FL,REP,CHALLENGER,1186925,19933,1206858,250,44200,1251308,1251358,1062446,163050,25860,1251357,,,1088257,1062396,
"LOPEZ-CERVANTEZ, JOANNE SELENA MS",S,AZ,IND,CHALLENGER,,,2100,,,7300,7300,5000,,1000,6000,5000,6300,6500,5000,
"LORENTZ, MICHAEL L",H,OH,DEM,CHALLENGER,6550,4338.64,10888.64,,1000,11888.64,11888.64,4890.34,,,4890.34,1326.9,8325.2,11888.64,4890.34,
"LOUDERMILK, BARRY",H,GA,REP,INCUMBENT,304308.32,26645.53,330953.85,,458700,789653.85,790216.07,762880.55,1100,42500,808980.55,92672.67,73908.19,788553.85,762685.59,Y
"LOVE, MIA",H,UT,REP,INCUMBENT,1771569.02,1998629.11,3770198.13,,939296.59,4709494.72,4931148.33,4481507,29593.31,24804,4536304.31,290812.94,685656.96,4679901.41,4479680.34,Y
"LOWE, THUY",H,FL,REP,CHALLENGER,9650,2882,12532,,,25120.33,34436.86,34193.52,,,34193.52,,243.34,25120.33,34138.96,
"LOWENTHAL, ALAN",H,CA,DEM,INCUMBENT,240721.15,31244.4,271965.55,,410873.56,682839.11,689939.11,245984.28,,259700,505684.28,357884.08,542137.92,682839.11,238884.28,Y
"LOWER, BARTHOLOMEW JAMES MR.",P,US,LIB,OPEN,,,,,,,,,,,,,,,,
"LOWEY, NITA M",H,NY,DEM,INCUMBENT,1182726.94,33484.92,1216211.86,,454950,1671161.86,1672163.4,713543.72,5000,447456.79,1166000.51,219372.22,725535.11,1666161.86,713186.44,Y
"LOZANO, ROY E",H,TX,REP,CHALLENGER,4473,539.99,5012.99,,,5012.99,6982.98,840.26,,4172.73,6982.98,,,5012.99,840.26,
"LUCAS, FRANK D.",H,OK,REP,INCUMBENT,274056.55,19870,293926.55,,836392.22,1130318.77,1149175.51,591846.54,7500,440000,1039346.54,287017.55,396846.52,1122818.77,577101.79,Y
"LUCERO, MICHAEL GLENN",H,NM,REP,CHALLENGER,7400,2214,9614,,,9614,9614,5853.49,,,5853.49,,3760.51,9614,5853.49,
"LUCIUS, CASEY",H,CA,REP,OPEN,326460.88,56902.47,383363.35,5000,7250,395623.35,395669.1,374838.74,150,,374988.74,,20680.36,395473.35,374832.23,
"LUETKEMEYER, W BLAINE",H,MO,REP,INCUMBENT,493692.37,23660.26,517352.63,,1292452.36,1809804.99,1834188.31,556138.38,13914,288302,858354.38,965976.43,1941810.36,1795890.99,550469.87,Y
"LUICK-THRAMS, ALIZA MICHAEL DR",S,IA,NNE,CHALLENGER,1616,80,1696,,,4196,5196,2949,,,3949,,1246,4196,2949,
"LUJAN GRISHAM, MICHELLE",H,NM,DEM,INCUMBENT,864713.16,93599.73,958312.89,22.22,773675,1732010.11,1790339.47,1265686.52,40928.23,449348.8,1755963.55,183452.74,217828.66,1691081.88,1207357.16,Y
"LUJAN, BEN R MR.",H,NM,DEM,INCUMBENT,571430.04,73851.74,645281.78,,1355504.87,2000786.65,2001396.15,1082070.66,1150,,1643220.66,536686.15,928564.73,1999636.65,1081461.16,Y
"LUPINACCI, CHAD ANTHONY",H,NY,REP,OPEN,1900,420,2320,,,2320,27720,2457.3,1000,,27720,,,1320,2457.3,
"LUSTER, REGINALD",S,FL,DEM,CHALLENGER,10195,5628,15528,,,31323.05,35238,29768,,,30803,,2111,31323,29768,
"LUTTRELL, MARK H JR",H,TN,REP,OPEN,334792.67,26436,361228.67,,4000,365228.67,365756.82,347366.23,11815,,359181.23,,6575.59,353413.67,346838.08,
"LUTZ, RANDALL ROY",P,US,IND,OPEN,,,,,,,40,,,,,,40,,,
"LYNCH, DENNIS M",P,US,REP,OPEN,,,28650,,,28875,28875,,,,28875,,,,,
"LYNCH, DENNIS MICHAEL",P,US,REP,OPEN,,,28650,,,28875,28875,,,,28875,,,,,
"LYNCH, FRANK",P,US,REP,OPEN,,,,,,310,20310,1632,,,20580,,,,,
"LYNCH, JAMES P SR",P,US,REP,OPEN,,1120,1120,,,95,43376,43476,,,43476,100,,,,
"LYNCH, MATT",H,OH,REP,CHALLENGER,223847.21,2850.01,226697.22,,2500,232647.22,296829.2,226516.73,3700,,291219.5,,5609.7,228947.22,223757.02,
"LYNCH, STEPHEN",H,MA,DEM,INCUMBENT,707366.1,59683.46,767049.56,,325220,1092269.56,1097115.11,464636.23,51,28360,493047.23,406586.74,1010654.62,1092218.56,459790.68,Y
"LYNN, ERIC",H,FL,DEM,CHALLENGER,696887.9,52991.46,749879.36,,17500,767379.36,767855.36,161308.2,142950,341500,645758.2,,122097.16,624429.36,161308.2,
"MACARTHUR, THOMAS",H,NJ,REP,INCUMBENT,715393.16,35921.82,751314.98,,827744.25,1579059.23,1803687.96,1254461.53,5325,346500,1606286.53,4385.97,201787.4,1573734.23,1253462.23,Y
"MACBETH, KAREN",H,RI,REP,CHALLENGER,13550,170,13720,,,13720,13720,6798.89,6921.11,,13720,,,6798.89,6798.89,
"MACHAT, STEVEN",S,FL,IND,CHALLENGER,,,,,,25943,25943.44,23961,62,,23899,2000,1982,17865,,
"MAHENDRA, SUJEET BOBBY NARENDRA",S,NV,DEM,OPEN,,,,,,,25000,17656,,,17656,,7342,,17656,
"MAHN, DANIEL TODD",H,MO,REP,CHALLENGER,14200,1225,15425,,,15425,16425,12123.46,,41.08,12164.54,5050,-755.14,15425,12123.46,
"MALDONADO, DAVID JOSEPH",H,TN,REP,OPEN,,184,184,,,184,5184,3014.81,,,3014.81,,3012.62,184,3014.81,
"MALDONADO, JOSEPH A",P,US,IND,OPEN,,1665,720,,,945,12032,,,,4926,,27,,,
"MALIN, EDWARD ANTHONY",H,FL,REP,OPEN,,,,,,57100,87100,89798.78,,,89798.78,,-2698.78,57100,89798.78,
"MALLOY, JEFFREY PATRICK",H,CA,DEM,CHALLENGER,7291.66,9131,16422.66,,2003.28,18625.94,18625.94,15377.57,,,15377.57,,3248.37,18625.94,15377.57,
"MALNES, BRIAN EDWARD",H,AZ,IND,OPEN,,,,,,30000,30000,25000,,,25000,,5000,30000,25000,
"MALONEY, CAROLYN B.",H,NY,DEM,INCUMBENT,771882.48,53839.32,825721.8,,720070,1545791.8,1545791.8,1450447.49,1072.12,,1451519.61,476951.06,571223.25,1544719.68,1450447.49,Y
"MALONEY, JAMES",H,AZ,DEM,OPEN,63975,6496.11,70471.11,,,94476.11,94476.11,24030.06,,,24030.06,,70446.05,94476.11,24030.06,
"MALONEY, SEAN PATRICK",H,NY,DEM,INCUMBENT,2204680.36,140361.74,2345042.1,6776.58,1089491.92,3441310.6,3488071.6,1443417.83,12838.67,4900,1461156.5,105742.61,2132657.71,3428471.93,1418739.26,Y
"MANELSKI, DEVON MARCUS",P,US,IND,OPEN,,,,,,5025,16669.73,20330.71,,,20330.71,,997,3025,6721.98,
"MANESS, ROBERT L COL. RET",S,LA,REP,OPEN,461680,195994,657676,,37114,698230,763415,595445.02,15557,11653,622655,21173,161911,682672,591039.02,
"MANLEY, ELIJAH D",P,US,GRE,OPEN,6192,1325,7517.2,,,7969.2,8234.2,6200.32,,375,6767.32,-38,-18.59,9324.4,7302.42,
"MANNINO, LEN",H,NH,REP,CHALLENGER,,,,,,,,,,,,,,,,
"MANTANONA, NICHOLAS BRENT MR.",H,TN,IND,CHALLENGER,,2,2,,,2,2,,,,,,2,2,,
"MANYPENNY, MIKE",H,WV,DEM,CHALLENGER,15179.41,6014.43,21193.84,,,21193.84,21193.84,27802.83,,72.84,27875.67,,-6681.83,21193.84,27802.83,
"MARCHANT, KENNY E MR.",H,TX,REP,INCUMBENT,155050,4750,159800,,648364.82,808164.82,935634.85,297318.02,200,122200,469718.02,877891.2,1343808.03,807964.82,297318.02,Y
"MARINO, THOMAS ANTHONY",H,PA,REP,INCUMBENT,439332.3,46865.54,486197.84,250,524204.87,1010652.71,1016402.61,701744.31,4746.25,171819,878309.56,83275.48,221368.53,1005906.46,701454.12,Y
"MARK, MIKE",P,US,IND,OPEN,,,,,,47,47,47,,,47,,,,,
"MARSALA, CHARLES",S,LA,REP,OPEN,3915,,3915,,,3915,14515,10835,,,12835,,1678,3915,10835,
"MARSHALL, ROBERT",S,IL,DEM,CHALLENGER,500,,500,,,500,24710,6000,,40196,46196,,314,500,6000,
"MARSHALL, ROBERT",H,IL,DEM,CHALLENGER,500,,500,,,500,24710,6000,,40196,46196,,314,500,6000,
"MARSHALL, ROGER W",H,KS,REP,CHALLENGER,640786.55,62551.75,703338.3,,422199.6,1179085.85,1543101.34,1367086.51,2800,,1456886.51,,86214.83,1176285.85,1367071.02,Y
"MARSICANO, MICHAEL PAUL",H,PA,DEM,CHALLENGER,19550,1650,21200,250,8000,29450,419868.43,122113.77,,,122113.77,,297754.66,29450,122113.77,
"MARTER, JAMES THOMAS",S,IL,REP,CHALLENGER,13700,18697,32397,300,,32697,71904,69312,,,71838,,39,32697,70627,
"MARTIN, ANDREW NOMORECPD",P,US,UNK,OPEN,,,,,,,,,,,,,,,,
"MARTIN, JACK",H,FL,REP,OPEN,4645,5375,10020,,,10020,10320,4000,6020,,10320,,,4000,4000,
"MARTIN, JOHN",S,AL,REP,CHALLENGER,700,,700,,,5744,5744,4659.61,,,5643,,50,5744,4659,
"MARTINS, JACK",H,NY,REP,OPEN,723472.62,51910.43,775383.05,,233350,1008733.05,1023567.64,763485.24,5100,,769632.18,,253935.46,1003633.05,758725.65,
"MARTYN, BRYAN",H,AZ,REP,OPEN,4300,665,4965,,,4965,4965,2965,,,4965,,,4965,2965,
"MARX, ANGELA KAYE",H,WA,DEM,CHALLENGER,6219.54,6776.96,12996.5,,,13285.57,13285.57,6847.52,,,6847.52,,6615.53,13285.57,6847.52,
"MASSIE, THOMAS H.",H,KY,REP,INCUMBENT,249511.01,35874.33,285385.34,,101888,387273.34,442838.53,250009.87,6214.88,63450,319674.75,202274.26,325438.04,381058.46,247444.68,Y
"MAST, BRIAN",H,FL,REP,OPEN,1098435.58,883797.01,1982232.59,,266210,2248442.59,2361442.76,1938966.72,18550,,1965591.45,,395851.31,2229892.59,1938365.5,Y
"MASTO, CATHERINE CORTEZ",S,NV,DEM,OPEN,9252954.32,4855000.14,13207959.46,46800,1070414.28,15224974.74,16362640.25,13191444,231541,371718,13052302,,2568186,14993629.15,30118804.01,Y
"MATORY, LIZ MS.",H,MD,REP,OPEN,16450,7474,23924,,4275,41157,41261.97,40160.54,,,40260.54,,-1487.84,41157,40110.57,
"MATSUI, DORIS",H,CA,DEM,INCUMBENT,256525,24809.16,281334.16,61.95,773879.5,1055275.61,1055474.27,760163.8,,162640.85,922804.65,275234.01,407903.63,1055275.61,759965.14,Y
"MATTA, WILLIAM BRUCE",H,TX,DEM,CHALLENGER,12643.19,10432.53,23075.72,,500,37402.86,38402.86,41586.67,,,41586.67,,-3183.81,37402.86,40586.67,
"MATTHEWS, ANDREW",H,NV,REP,OPEN,207592.62,26876,234468.62,,,234600.62,255237.7,253055.38,800,1350,255205.38,,32.32,233800.62,253055.38,
"MATTHEWS, KATHLEEN",H,MD,DEM,OPEN,1886736.02,156868.95,2043604.97,,211200,2254804.97,2900350.58,2739886.18,122588.09,2435.24,2864909.51,,35441.07,2132216.88,2738993.74,
"MATVEY, JOSEPH",H,OH,REP,OPEN,,,,,,2583,2583,2583,,,2583,,,,2583,
"MAXWELL, CHIP",H,NE,REP,CHALLENGER,84190.14,16580.83,100770.97,,1000,101770.97,111770.97,113914.87,,,113914.87,,-2143.9,101770.97,113914.87,
"MAXWELL, MATTHEW",H,CT,REP,CHALLENGER,3652,2130,5782,,,5782,15782,795,,,10795,,4359,5782,795,
"MAY, DONALD ROBERT LEE",H,TX,REP,OPEN,46451,6713,53164,,,53164,172450.18,177076.81,,,177276.81,3694.57,-1132.06,53164,176407.96,
"MAYO, JAMIE",H,LA,DEM,OPEN,4300,415,4715,2000,,9364,9364,2435.27,,,10895.87,1781.47,249.6,9364,2435.27,
"MAYORAS, STEVEN MICHAEL",H,IN,LIB,CHALLENGER,1000,356,1356,,,1907.49,1907.49,1797.37,,,1797.37,,110.12,1907.49,1797.37,
"MCAFEE, JOHN DAVID",P,US,LIB,OPEN,12147,8101,20247.23,,,20247.23,52247.23,35816.73,,,35816.73,,16430.5,46142.01,59502.95,
"MCAFFREY, ALVIS",H,OK,DEM,CHALLENGER,45087,17441.49,62528.49,,,62528.49,62528.49,55522.55,,,55522.55,,7005.94,62528.49,55522.55,
"MCALLISTER, LENNY MR",H,PA,REP,CHALLENGER,14900,2490,17390,,,17390,17390,15689.32,,,15689.32,,1700.68,17390,15689.32,
"MCCAIN, JOHN S",S,AZ,REP,INCUMBENT,7065206,864328,7929538,47800,2016321,9993659,11315066,10323282,96160,77637,10497079,2019177,2837162,9897498,10317355,Y
"MCCALL, BRIAN MATTHEW",H,TX,REP,CHALLENGER,120546,10497.77,131043.77,,,131048.77,183785.09,164971.63,,,184971.63,1186.54,,131048.77,164971.63,
"MCCARTER, KYLE",H,IL,REP,CHALLENGER,301021.93,30700,331721.93,,9764.41,341486.34,498182.24,405672.97,88363.69,,494036.66,,4145.58,253122.65,404977.07,
"MCCARTHY, KEVIN",H,CA,REP,INCUMBENT,1247202.9,33936.52,1281139.42,,3156497.09,4437636.51,7530059.03,3966621.06,25200,3517676.4,7509497.46,1854633.07,1875194.64,4412436.51,3933938.98,Y
"MCCAUL, MICHAEL",H,TX,REP,INCUMBENT,892074.61,51883.95,943958.56,,671060.44,1615019,1665127.94,1377394.51,15910,60149,1503453.51,61663.44,223337.87,1599109,1376646.15,Y
"MCCLELLAND, ERIN",H,PA,DEM,CHALLENGER,151105.86,30006.66,181112.52,,41000,223438.5,223648.1,175402.69,2210,1050,178662.69,10567.43,55552.84,221228.5,175193.09,
"MCCLINTOCK, THOMAS",H,CA,REP,INCUMBENT,575553.06,301515.49,877068.55,,118294.45,995363,996374.56,722167.82,5900,135525,863592.82,217098.69,349880.43,989463,721156.26,Y
"MCCLURE, WILLIAM A MR",H,FL,REP,OPEN,9450,560,10010,,,10010,167029.33,159730.99,,7302.25,167033.24,8.91,5,10010,159730.99,
"MCCOLLUM, BETTY",H,MN,DFL,INCUMBENT,326539.43,56432.75,382972.18,,479442,862414.18,866713.01,644127.25,508.34,228500,873135.59,171162.96,164740.38,861905.84,639828.42,Y
"MCCONNELL, JONATHAN EDWARD",S,AL,REP,CHALLENGER,540583,40518,581101,,5000,863893,940571,781910,155644,3000,940554,,15,708249,781680,
"MCCRACKEN, TRICIA CARPENTER",H,GA,DEM,CHALLENGER,,,,,,13764.64,20646,5220,,,10440,6882,1662,,,
"MCCULLOUGH, WILLIAM",H,FL,DEM,CHALLENGER,2350,5195,7545,,,7545,36020,31792.51,,1070,32862.51,,4246.75,7545,31792.51,
"MCDERMOTT, JAMES JOSEPH",H,WA,DEM,OPEN,405828.04,58720.79,464548.83,1758.14,20750,487056.97,487056.97,468435.42,18621.55,,487056.97,,,468435.42,468435.42,
"MCDEVITT, DAVID MALCOLM MR",H,WA,DEM,CHALLENGER,7360.35,7752.5,15112.85,100,50,15262.85,115262.85,31423.79,,,113923.79,,1339.06,15262.85,31423.79,
"MCDONOUGH, PATRICK L",H,MD,REP,CHALLENGER,77737.82,116022.67,193760.49,,4335,198095.49,198341.17,159359.7,,1500,160859.7,,37481.47,198095.49,159114.02,
"MCDOWELL, JAN",H,TX,DEM,CHALLENGER,12593.23,2347,14940.23,4000,1550,20490.23,20837.46,11879.73,,4000,15989.73,,4847.73,20490.23,11532.5,
"MCEACHIN, ASTON DONALD MR.",H,VA,DEM,CHALLENGER,333139.64,42654.41,375794.05,500,326800,703094.05,703303.46,312084.06,2800,2000,316884.06,,386419.4,700294.05,311874.65,Y
"MCFARLANE, RICHARD",H,NJ,DEM,CHALLENGER,500,41.03,541.03,,,541.03,741.03,192.17,,348.86,741.03,,,541.03,192.17,
"MCGEE, ANDREA LEIGH LEIGH",H,FL,REP,CHALLENGER,16794,4843.19,21637.19,,,21637.19,24505.13,19289.17,686.9,,22299.18,-736.23,2295.95,20950.29,19289.17,
"MCGINTY, KATHLEEN ALANA",S,PA,DEM,CHALLENGER,9053625,3015333,12068961,46800,1026609,13142372,14130447,12653811,184591,2241,12860645,,1269803,12957780,12647684,
"MCGOVERN, JAMES JOSEPH",H,FL,DEM,CHALLENGER,34300,6789,41089,,,50116.53,70196.09,69441.31,2700,,72141.31,,-1945.22,47416.53,69361.75,
"MCGOVERN, JAMES P",H,MA,DEM,INCUMBENT,283928.53,140408.93,424337.46,139.01,454738.78,879215.25,884705.05,546634.88,750,255845,803229.88,373647.36,455122.53,878465.25,542265.75,Y
"MCGURN, KENNETH RANDOL",H,FL,DEM,CHALLENGER,253761.92,22,253783.92,,,578783.92,578783.92,432538.02,600,,433138.02,,145645.9,578183.92,432538.02,
"MCHENRY, PATRICK TIMOTHY",H,NC,REP,INCUMBENT,1022694.7,20364.7,1043059.4,,1623059.98,2666119.38,3031163.18,1326324.32,15500,612402.78,1999177.42,840207.84,1872193.6,2650619.38,1322936.51,Y
